x,y
1.0,0.5525999665260315
2.0,1.989133358001709
3.0,3.752700090408325
4.0,5.066600322723389
5.0,5.131433010101318
6.0,4.155900001525879
7.0,3.126833200454712
8.0,2.4303998947143555
9.0,1.81576669216156
10.0,1.9088001251220703
11.0,2.868833303451538
12.0,3.5680665969848633
13.0,4.571766376495361
14.0,5.390833377838135
15.0,5.564266681671143
16.0,5.557167053222656
17.0,5.307666778564453
18.0,4.9496002197265625
19.0,4.3378005027771
20.0,4.12773323059082
21.0,4.026233196258545
22.0,3.960766553878784
23.0,4.461466312408447
24.0,4.596433162689209
25.0,4.943000316619873
26.0,5.608300685882568
27.0,5.502933502197266
28.0,5.094033718109131
29.0,4.9352335929870605
30.0,4.490166187286377
31.0,4.4723663330078125
32.0,4.496766567230225
33.0,4.466133117675781
34.0,4.65310001373291
35.0,4.658899784088135
36.0,4.994499683380127
37.0,5.027200222015381
38.0,5.216533184051514
39.0,5.734466552734375
40.0,6.094167232513428
41.0,6.169466495513916
42.0,5.9798665046691895
43.0,5.89900016784668
44.0,5.889233112335205
45.0,5.95056676864624
46.0,5.971499919891357
